[2024-07-17 22:03:10,244][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 084 loss 0.4623 accuracy 76.56
[2024-07-17 22:03:10,245][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:85 
[2024-07-17 22:03:12,190][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 085 loss 0.5058 accuracy 78.12
[2024-07-17 22:03:12,191][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:86 
[2024-07-17 22:03:14,117][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 086 loss 0.5881 accuracy 75.00
[2024-07-17 22:03:14,117][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:87 
[2024-07-17 22:03:16,043][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 087 loss 0.4747 accuracy 76.56
[2024-07-17 22:03:16,459][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:88 
[2024-07-17 22:03:18,385][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 088 loss 0.5527 accuracy 68.75
[2024-07-17 22:03:18,386][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:89 
[2024-07-17 22:03:20,327][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 089 loss 0.5052 accuracy 79.69
[2024-07-17 22:03:20,328][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:90 
[2024-07-17 22:03:22,264][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 090 loss 0.4663 accuracy 79.69
[2024-07-17 22:03:22,266][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:91 
[2024-07-17 22:03:24,200][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 091 loss 0.4918 accuracy 76.56
[2024-07-17 22:03:24,564][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:92 
[2024-07-17 22:03:26,516][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 092 loss 0.5310 accuracy 71.88
[2024-07-17 22:03:26,516][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:93 
[2024-07-17 22:03:28,448][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 093 loss 0.4017 accuracy 84.38
[2024-07-17 22:03:28,448][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:94 
[2024-07-17 22:03:30,384][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 094 loss 0.4672 accuracy 82.81
[2024-07-17 22:03:30,385][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:95 
[2024-07-17 22:03:32,269][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 095 loss 0.5416 accuracy 76.56
[2024-07-17 22:03:33,672][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:96 
[2024-07-17 22:03:35,549][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 096 loss 0.5002 accuracy 76.56
[2024-07-17 22:03:35,550][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:97 
[2024-07-17 22:03:37,404][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 097 loss 0.5769 accuracy 68.75
[2024-07-17 22:03:37,407][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:98 
[2024-07-17 22:03:39,266][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 098 loss 0.5486 accuracy 79.69
[2024-07-17 22:03:39,267][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:99 
